RA,JC,AA,PA,PPS,SPS,Label
3.27E-06,0.000306466,0.149924838,39132,0.046004371,0.010112624,1
0.01236873,0.032967033,0.513212199,984,0.163663418,0.036369648,1
0.003610108,0.009803922,0.177808835,582,0.105409255,0.04454354,1
7.25E-06,0.002898551,0.084493733,1705,0.057259833,0.025,1
0.033581523,0.074303406,3.45731928,29046,0.160430101,0.119840319,1
0.250092392,0.014409222,1.40240074,21567,0.048507125,0.029197858,1
0.019309089,0.011583012,0.577422537,1536,0.182574186,0.081468817,1
0,0,0,28628,0,0,1
0.006035155,0.024285714,5.246859521,719118,0.13812081,0.056783306,1
0.002949853,0.005555556,0.17164435,358,0.121267813,0.053452248,1
0,0,0,3091,0,0,1
0,0,0,18816,0,0,1
0.359096903,0.064220183,8.612857283,164611,0.237474749,0.063726593,1
0.003231604,0.006006006,0.264864666,21576,0.045715032,0.01375521,1
0,0,0,6708,0,0,1
0.000825083,0.001079914,0.140844532,136712,0,0.002792381,1
0.003451338,0.009138381,0.875776921,71262,0.061017386,0.023109422,1
0.002295095,0.001624986,5.574187431,2685682,0.283053622,0.036003826,1
0.000664003,0.002163917,0.802051626,59024,0.125988158,0.032946649,1
0.002673545,0.006711409,0.299705772,20900,0,0.013934322,1
0.009534716,0.020100503,0.641199206,6142,0.0949158,0.038869366,1
0.004390675,0.007374631,0.650440557,65772,0.04,0.006633581,1
0.001837353,0.005651491,1.720325577,132762,0.2087667,0.043988592,1
0.555348998,0.291139241,9.614703719,10115,0.514973231,0.308205651,1
0.259736824,0.029976581,10.05948405,1137344,0.087537622,0.027644991,1
0.001742345,0.005569007,6.400927865,1370628,0.315688879,0.058951496,1
0.019818201,0.019138756,0.635136296,7802,0.071066905,0.032512804,1
0,0,0,74,0,0,1
0.010820313,0.016042781,0.51351788,744,0.138675049,0.151522882,1
0,0,0,16,0,0,1
0.003729094,0.013986014,1.358505171,148016,0.079674101,0.031463243,1
0.018,0.020833333,0.424258886,285,0.264906471,0.120385853,1
7.25E-06,0.000527148,0.084493733,3792,0.082199494,0.016295206,1
0.000874124,0.002599653,0.301863469,46830,0.033671751,0.013869283,1
0.234459079,0.041404806,16.66261564,1603800,0.162281448,0.074362886,1
0.024012546,0.040064103,3.189030259,101394,0.144726708,0.0759623,1
0.009725353,0.004301075,0.306628386,54180,0.031943828,0,1
6.263596117,0.084048027,41.73886818,766935,0.434845845,0.114395745,1
0,0,0,138,0,0,1
0.073701335,0.153061224,2.574362799,3120,0.226133508,0.15249857,1
8.59E-05,0.003472222,0.198496478,5121,0.068398557,0.013986356,1
0,0,0,478,0,0,1
0,0,0,94,0,0,1
0,0,0,390,0,0,1
3.76E-05,0.001508296,0.098156242,3295,0.044065265,0.017902872,1
0.026656529,0.043939394,3.699339374,86460,0.143731561,0.028922904,1
0,0,0,53,0,0,1
0.039660235,0.06,15.86661663,635877,0.471033657,0.171924786,1
0.007381051,0.01048218,1.272239629,195460,0.066062275,0.020402447,1
0.028339995,0.018518519,5.281531104,918750,0.080927761,0.042604289,1
0,0,0,1596,0,0,1
0.000217762,0.019914651,1.235476587,45290,0.189974276,0.065989301,1
0.011416495,0.052238806,0.992192164,4914,0.161015297,0.058983194,1
0.052374949,0.144628099,5.084267545,15150,0.476313972,0.155188058,1
0.023223173,0.015936255,1.200124264,15741,0.0893237,0.052777981,1
0,0,0,9536,0,0,1
0.064549217,0.002904866,1.280058753,860632,0.027820744,0.006157841,1
0,0,0,123,0,0,1
0.017646755,0.018099548,11.48940829,1189829,0.361307434,0.079229063,1
0.000601323,0.002518892,0.1348367,8272,0.01559078,0.013377403,1
0.002251013,0.013035382,0.826906305,4815,0.253085534,0.092057462,1
0.017241379,0.076923077,0.246278546,24,0.40824829,0.213200716,1
0.000147623,0.001416431,0.113367797,10380,0.041344912,0.009858079,1
0.001738284,0.012542759,1.132266374,62447,0.136208941,0.040494128,1
0,0,0,56,0,0,1
0.008695652,0.027777778,0.210751171,252,0.125988158,0.06415003,1
0.000849851,0.001638449,0.592824215,127155,0.07384147,0.016833093,1
3.554636043,0.12247191,27.62683652,247694,0.323026217,0.136895289,1
0.002198297,0.021052632,0.293319742,460,0.110940039,0.151185789,1
0.000511309,0.000377679,0.419809758,84696,0.07856742,0.013751633,1
0.01084861,0.015758202,6.91005609,398112,0.510231848,0.080977276,1
0.033450245,0.032815199,2.811371982,63801,0.043620505,0.062027971,1
0.002257336,0.003571429,0.164107418,5698,0.050251891,0.013325045,1
0.000296458,0.0041841,0.382915457,80631,0.032258065,0.010607928,1
0.057160309,0.050632911,4.871121798,102303,0.097552109,0.050432723,1
0.002429363,0.006525285,1.580985273,532731,0.103726156,0.020574293,1
0.034084507,0.051282051,0.490216424,114,0.19245009,0.187317162,1
0,0,0,55,0,0,1
0.017944051,0.031578947,0.585867003,1032,0.120096115,0,1
1.31E-06,0.007874016,0.073830359,1695,0,0.028867513,1
0,0,0,1500,0,0,1
0.019732766,0.054908486,4.137541964,93433,0.128285275,0.037340395,1
3.45E-05,0.005025126,0.097315935,591,0.075164603,0,1
